name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
KENTUCKY FRIED CHICKEN,21201,Downtown,11,CENTRAL,"100 HOWARD ST
Baltimore, MD
"
KENTUCKY FRIED CHICKEN,21202,Charles North,12,CENTRAL,"1821 ST PAUL ST
Baltimore, MD
"
KENTUCKY FRIED CHICKEN,21218,Better Waverly,14,NORTHERN,"2853 GREENMOUNT AVE
Baltimore, MD
"
KENTUCKY FRIED CHICKEN,21229,Irvington,8,SOUTHWESTERN,"3815 WILKENS AVE
Baltimore, MD
"
KENTUCKY FRIED CHICKEN,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5625 O DONNELL ST
Baltimore, MD
"
KENTUCKY FRIED CHICKEN  Y070-074,21215,Liberty Square,7,NORTHWESTERN,"3300 REISTERSTOWN RD
Baltimore, MD
"
KFC / LONG JOHN SILVERS,21206,Frankford,2,NORTHEASTERN,"5000 SINCLAIR LN
Baltimore, MD
"
KFC-Y320011,21215,Glen,5,NORTHWESTERN,"6600 REISTERSTOWN RD
Baltimore, MD
"
KICK BACK JACK'S,21206,Frankford,2,NORTHEASTERN,"4825 BELAIR RD
Baltimore, MD
"
KIKU SUSHI RESTAURANT,21230,Federal Hill,10,SOUTHERN,"1017 LIGHT ST
Baltimore, MD
"
"KIMMY'S RESTAURANT & CARRYOUT, INC.",21215,Seton Business Park,5,NORTHWESTERN,"5732 WABASH AVE
Baltimore, MD
"
KIM'S LIQUORS,21216,Northwest Community Action,7,SOUTHWESTERN,"2863 NORTH AVE
Baltimore, MD
"
KIM'S RESTAURANT & CARRYOUT,21230,Federal Hill,10,SOUTHERN,"1121 LIGHT ST
Baltimore, MD
"
KING BUFFET,21230,Lakeland,10,SOUTHERN,"2201 PATAPSCO AVE
Baltimore, MD
"
"KING'S GARDEN CAF, LLC",21201,Downtown,11,CENTRAL,"218 CHARLES ST
Baltimore, MD
"
KING'S PIZZA EXPRESS,21211,Hampden,14,NORTHERN,"907 36TH ST
Baltimore, MD
"
KIRBIE'S GRILL & CAF,21201,Downtown,11,CENTRAL,"410 REDWOOD ST
Baltimore, MD
"
KIRBY'S KORNER,21224,Baltimore-Linwood,1,SOUTHEASTERN,"35 POTOMAC ST
Baltimore, MD
"
KISLING'S TAVERN,21231,Canton,1,SOUTHEASTERN,"2100 FLEET ST
Baltimore, MD
"
KISS CAF,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD
"
KITTY'S LOUNGE,21218,Abell,14,NORTHERN,"3208 GREENMOUNT AVE
Baltimore, MD
"
K-MART MORAVIA  STORE #3229,21206,Frankford,2,NORTHEASTERN,"5100 SINCLAIR LN
Baltimore, MD
"
KNOTTY PINE INN,21224,Canton,1,SOUTHEASTERN,"801 CONKLING ST
Baltimore, MD
"
KOBA CAF,21230,Riverside,10,SOUTHERN,"644 FORT AVE
Baltimore, MD
"
"KOCO'S PUB, INC.",21214,Lauraville,3,NORTHEASTERN,"4301 HARFORD RD
Baltimore, MD
"
KOLPERS RESTAURANT AND BAR,21211,Jones Falls Area,7,NORTHERN,"1520 CLIPPER RD
Baltimore, MD
"
KOOPER'S TAVERN,21231,Fells Point,1,SOUTHEASTERN,"1702 THAMES ST
Baltimore, MD
"
KOSHER BITE,21215,Reisterstown Station,5,NORTHWESTERN,"6309 REISTERSTOWN RD
Baltimore, MD
"
KOZY KORNER,21218,East Baltimore Midway,12,EASTERN,"701 BARTLETT AVE
Baltimore, MD
"
KRISTO'S CARRYOUT,21201,Downtown,11,CENTRAL,"206 SARATOGA ST
Baltimore, MD
"
K'S KORNER,21230,Westport,10,SOUTHERN,"2300 SIDNEY AVE
Baltimore, MD
"
KUANG NING CARRYOUT,21216,Northwest Community Action,7,SOUTHWESTERN,"3127 NORTH AVE
Baltimore, MD
"
KUMARI RESTAURANT & BAR,21201,Mount Vernon,11,CENTRAL,"911 CHARLES ST
Baltimore, MD
"
Kwang Moo Liquor,21229,Tremont,8,SOUTHWESTERN,"4742 Frederick Ave
Baltimore, MD
"
L. P. DOCKS,21230,Locust Point,10,SOUTHERN,"1476 REYNOLDS ST
Baltimore, MD
"
L.P. STEAMERS,21230,Riverside,10,SOUTHERN,"1100 FORT AVE
Baltimore, MD
"
LA  CAZUELA RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"1718 EASTERN AVE
Baltimore, MD
"
LA MARSA,21231,Fells Point,1,SOUTHEASTERN,"706 BROADWAY
Baltimore, MD
"
LA ROCA,21224,Ellwood Park/Monument,13,SOUTHEASTERN,"3210 PULASKI HWY
Baltimore, MD
"
LA ROCA BRUJA,21230,SBIC,10,SOUTHERN,"1453 LIGHT ST
Baltimore, MD
"
LA RUMBA,21231,Washington Hill,1,SOUTHEASTERN,"1650 54 E PRATT ST
Baltimore, MD
"
LA SCALA RISTORANTE ITALIANO,21202,Little Italy,1,SOUTHEASTERN,"1012 EASTERN AVE
Baltimore, MD
"
"LA SIRENITA RESTAURANT, II",21224,Brewers Hill,1,SOUTHEASTERN,"3928 EASTERN AVE
Baltimore, MD
"
LA TAVOLA RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"248 ALBEMARLE ST
Baltimore, MD
"
LADY D'S CAF,21218,Better Waverly,12,NORTHERN,"2637 GREENMOUNT AVE
Baltimore, MD
"
LAGERS PUB,21224,Canton,1,SOUTHEASTERN,"2522 FAIT AVE
Baltimore, MD
"
LAHOR KABAB HOUSE,21218,Charles North,12,NORTHERN,"2110 CHARLES ST
Baltimore, MD
"
LA'RAE,21213,Oliver,12,EASTERN,"1000 HOFFMAN ST
Baltimore, MD
"
LARRY FLYNT'S HUSTLER CLUB,21202,Downtown,11,CENTRAL,"18 CUSTOM HOUSE AVE
Baltimore, MD
"
LAS ESPERANZA,21231,Fells Point,1,SOUTHEASTERN,"529 BOND ST
Baltimore, MD
"
"LAS PALMAS MEXICAN RESTAURANT, INC.",21231,Fells Point,1,SOUTHEASTERN,"1622 EASTERN AVE
Baltimore, MD
"
LATASCA,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD
"
LATIN PALACE  (509-13),21231,Fells Point,1,SOUTHEASTERN,"509 BROADWAY
Baltimore, MD
"
LATIN QUARTERS,21224,Greektown,2,SOUTHEASTERN,"646 NEWKIRK ST
Baltimore, MD
"
LAVA LOUNGE,21224,Canton Industrial Area,1,SOUTHEASTERN,"1301 PONCA ST
Baltimore, MD
"
LEADBETTERS II,21231,Fells Point,1,SOUTHEASTERN,"1639 THAMES ST
Baltimore, MD
"
LEAR'S II,21224,Canton,1,SOUTHEASTERN,"3500 O DONNELL ST
Baltimore, MD
"
LEBANESE TAVERNA   (AKA 719 S. PRESIDENT STREET),21202,Inner Harbor,1,SOUTHEASTERN,"801 ALICEANNA ST
Baltimore, MD
"
LED ENTERPRISES LTD.,21223,Carrollton Ridge,9,SOUTHERN,"514 PULASKI ST
Baltimore, MD
"
LEGAL SEA FOODS,21202,Inner Harbor,11,CENTRAL,"100 PRATT ST
Baltimore, MD
"
LEGEND RESTAURANT,21217,Upton,11,CENTRAL,"614 LAURENS ST
Baltimore, MD
"
LEMONGRASS BALTIMORE,21213,Little Italy,1,SOUTHEASTERN,"1300 BANK STREET
Baltimore, MD
"
LENNY'S DELI OF LOMBARD STREET,21202,Jonestown,12,SOUTHEASTERN,"1150 LOMBARD ST
Baltimore, MD
"
LEN'S SANDWICH SHOP,21213,Broadway East,12,EASTERN,"1500 WASHINGTON ST
Baltimore, MD
"
LEON'S BAR,21230,Riverside,10,SOUTHERN,"1740 LIGHT ST
Baltimore, MD
"
LEVEL'S LOUNGE,21223,Penrose/Fayette Street Outreach,9,SOUTHWESTERN,"322 FRANKLINTOWN RD
Baltimore, MD
"
LIGHT STREET CAF - 17th FLOOR,21202,Inner Harbor,11,CENTRAL,"100 LIGHT ST
Baltimore, MD
"
LIGHT STREET TAVERN,21230,SBIC,10,SOUTHERN,"1400 LIGHT ST
Baltimore, MD
"
LIKE FATHER AND SON,21223,Penrose/Fayette Street Outreach,9,WESTERN,"228 MONROE ST
Baltimore, MD
"
LIL'S PLACE,21217,Mondawmin,7,WESTERN,"1909 PULASKI ST
Baltimore, MD
"
LIME,21230,Riverside,10,SOUTHERN,"801 FORT AVE
Baltimore, MD
"
LINDEN DELI,21201,Mount Vernon,11,CENTRAL,"890 LINDEN AVE
Baltimore, MD
"
LINDEN LOUNGE & BAR,21217,Reservoir Hill,11,CENTRAL,"904 NORTH AVE
Baltimore, MD
"
"LITHUANIAN HALL ASSOCIATION, INC.",21201,Hollins Market,9,SOUTHERN,"851 HOLLINS ST
Baltimore, MD
"
LITTLE BEAVER SOCIAL CLUB,21224,Greektown,2,SOUTHEASTERN,"600 LEHIGH ST
Baltimore, MD
"
LITTLE HAVANA,21230,Inner Harbor,10,SOUTHERN,"1325 key HWY
Baltimore, MD
"
LITTLE TAVERN SHOPS,21224,Highlandtown,1,SOUTHEASTERN,"3515 EASTERN AVE
Baltimore, MD
"
LITTLE TAVERN SHOPS(6412-14),21224,Broening Manor,1,SOUTHEASTERN,"6412 HOLABIRD AVE
Baltimore, MD
"
LOCO HOMBRE,21210,Evergreen,6,NORTHERN,"411 COLDSPRING LN
Baltimore, MD
"
LOCUST POINT TAVERN,21230,Locust Point,10,SOUTHERN,"1515 CLEMENT ST
Baltimore, MD
"
LONG HING CARRYOUT,21202,Johnston Square,12,EASTERN,"1131 GREENMOUNT
Baltimore, MD
"
LONG JOHN SILVERS/A &W RESTAURANTS,21215,Glen,5,NORTHWESTERN,"6602 REISTERSTOWN RD
Baltimore, MD
"
LONG JOHN'S PUB,21211,Remington,7,NORTHERN,"398 29TH ST
Baltimore, MD
"
LONGWOOD CAFE',21223,Gwynns Falls,8,SOUTHWESTERN,"3001 FREDERICK AVE
Baltimore, MD
"
looney's pub,21224,Canton,1,SOUTHEASTERN,"2900 o donnell st
Baltimore, MD
"
LOS MARIACHIS RESTAURANT,21231,Canton,1,SOUTHEASTERN,"2227 EASTERN AVE
Baltimore, MD
"
LOUISIANA,21231,Fells Point,1,SOUTHEASTERN,"1708 ALICEANNA ST
Baltimore, MD
"
LOUNGE 51,21205,Middle East,13,EASTERN,"633 DUNCAN ST
Baltimore, MD
"
LOU'S BAR,21224,Pulaski Industrial Area,2,SOUTHEASTERN,"4825 EASTERN AVE
Baltimore, MD
"
LOWELL LIQUOR,21215,Central Park Heights,6,NORTHWESTERN,"3201 WOODLAND AVE
Baltimore, MD
"
LUCA'S CAF,21230,Locust Point Industrial Area,10,SOUTHERN,"1230 FORT AVE
Baltimore, MD
"
LULU'S OFF BROADWAY,21231,Fells Point,1,SOUTHEASTERN,"1703 ALICEANNA ST
Baltimore, MD
"
LUMBINI,21201,Downtown,11,CENTRAL,"322 CHARLES ST
Baltimore, MD
"
LUNA DELSEA,21201,Inner Harbor,11,CENTRAL,"300 PRATT ST
Baltimore, MD
"
LUST,21202,Downtown,11,CENTRAL,"408 BALTIMORE ST
Baltimore, MD
"
LYRIC THEATRE,21201,Mid-Town Belvedere,11,CENTRAL,"110 MOUNT ROYAL AVE
Baltimore, MD
"
M & J'S SOUL FOOD,21218,Charles Village,12,NORTHERN,"102 25TH ST
Baltimore, MD
"
M & M LIQUOR AND LOUNGE,21215,Central Park Heights,6,NORTHWESTERN,"5142 PARK HEIGHTS AVE
Baltimore, MD
"
M & S GRILL/MCCORMICK & SCHMICK'S SEAFOOD REST.,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD
"
MACEO'S,21217,Mondawmin,7,WESTERN,"1926 MONROE ST
Baltimore, MD
"
MAGERK'S PUB,21230,Federal Hill,10,SOUTHERN,"1061 CHARLES ST
Baltimore, MD
"
MAGGIE MOORE'S IRISH PUB & RESTAURANT,21201,Downtown,11,CENTRAL,"21 EUTAW ST
Baltimore, MD
"
mahaffey's pub,21224,Canton,1,SOUTHEASTERN,"2706 dillon st
Baltimore, MD
"
"MAKUTI ENTERPRISES, LLC",21206,Frankford,2,NORTHEASTERN,"5302 FRANKFORD AVE
Baltimore, MD
"
MAMA'S ON THE HALF SHELL,21224,Canton,1,SOUTHEASTERN,"2901 O DONNELL ST
Baltimore, MD
"
MAMMA LUCIA PIZZA,21215,Hanlon-Longwood,7,NORTHWESTERN,"3049 MONDAWMIN MALL
Baltimore, MD
"
MAMMA ROMA,21215,Glen,5,NORTHWESTERN,"6604 REISTERSTOWN RD
Baltimore, MD
"
MAMMA'S CUCINA,21211,Hampden,14,NORTHERN,"1020 41ST ST
Baltimore, MD
"
MARGARETS PLACE,21223,New Southwest/Mount Clare,9,SOUTHERN,"351 CALHOUN ST
Baltimore, MD
"
MARIA D'S,21230,Federal Hill,10,SOUTHERN,"1016 LIGHT ST
Baltimore, MD
"
MARTICK'S,21201,Downtown,11,CENTRAL,"214 MULBERRY ST
Baltimore, MD
"
MARYLAND CASUALTY  COMPANY (CAF),21211,Roland Park,14,NORTHERN,"3910 KESWICK RD
Baltimore, MD
"
MARYLAND CLUB,21202,Mid-Town Belvedere,11,CENTRAL,"1 EAGER ST
Baltimore, MD
"
MARYLAND SCIENCE CENTER BEAKER'S CAF,21230,Otterbein,11,CENTRAL,"601 LIGHT ST
Baltimore, MD
"
MARY'S TAVERN,21231,Upper Fells Point,1,SOUTHEASTERN,"2057 GOUGH ST
Baltimore, MD
"
MASTELLONE'S,21234,North Harford Road,3,NORTHEASTERN,"7212 HARFORD RD
Baltimore, MD
"
MATSURI RESTAURANT,21230,Federal Hill,10,SOUTHERN,"1105 CHARLES ST
Baltimore, MD
"
matthew's pizza,21224,Canton,1,SOUTHEASTERN,"3131 eastern ave
Baltimore, MD
"
MAX'S ON BROADWAY,21231,Fells Point,1,SOUTHEASTERN,"735 BROADWAY
Baltimore, MD
"
MAYNARD'S CAFE & RESTAURANT,21225,Brooklyn,10,SOUTHERN,"3916 HANOVER ST
Baltimore, MD
"
MBEPB VF #109-PERRY'S CRESENT CAF,21202,Downtown,11,CENTRAL,"10 HOWARD ST
Baltimore, MD
"
MBEPB VF #137--- STATE CENTER CAF,21201,Madison Park,11,CENTRAL,"301 preston st
Baltimore, MD
"
MBEPB VF #34,21201,Seton Hill,11,CENTRAL,"300 GREENE ST
Baltimore, MD
"
MCCABE'S,21211,Hampden,7,NORTHERN,"3845 FALLS RD
Baltimore, MD
"
MCCORMICK & SCHMICK SEAFOOD RESTAURANT,21202,Inner Harbor,11,CENTRAL,"711 EASTERN AVE
Baltimore, MD
"
MCCRACKENS ON KEY,21230,Riverside,10,SOUTHERN,"1400 KEY HIGHWAY
Baltimore, MD
"
MCDONALD'S,21202,Downtown,11,CENTRAL,"101 BALTIMORE ST
Baltimore, MD
"
mcdonald's,21202,Brooklyn,10,SOUTHERN,"101 patapsco ave
Baltimore, MD
"
mcdonald's,21202,Inner Harbor,11,CENTRAL,"200 pratt st
Baltimore, MD
"
MCDONALD'S,21213,South Clifton Park,12,EASTERN,"2001 BROADWAY
Baltimore, MD
"
MCDONALD'S,21201,Downtown,11,CENTRAL,"25 HOWARD ST
Baltimore, MD
"
MCDONALD'S,21218,Better Waverly,12,NORTHERN,"2840 GREENMOUNT
Baltimore, MD
"
MCDONALD'S,21202,Downtown,11,CENTRAL,"31 CALVERT ST
Baltimore, MD
"
mcdonald's,21229,Violetville,8,SOUTHWESTERN,"3619 wilkens ave
Baltimore, MD
"
mcdonald's,21211,Hampden,7,NORTHERN,"3920 falls rd
Baltimore, MD
"
MCDONALD'S,21215,Central Park Heights,6,NORTHWESTERN,"4401 REISTERSTOWN RD
Baltimore, MD
"
MCDONALD'S,21212,Radnor-Winston,4,NORTHERN,"5100 YORK RD
Baltimore, MD
"
MCDONALD'S,21206,Pulaski Industrial Area,2,NORTHEASTERN,"6001 MORAVIA RD
Baltimore, MD
"
MCDONALD'S  RESTAURANT,21206,Frankford,2,NORTHEASTERN,"5713 BELAIR RD
Baltimore, MD
"
MCDONALD'S #5437,21224,Baltimore Highlands,1,SOUTHEASTERN,"3401 PULASKI HWY
Baltimore, MD
"
MCDONALD'S (4526-38),21215,Claremont-Freedom,13,NORTHEASTERN,"4526 ERDMAN AVE
Baltimore, MD
"
MCDONALD'S 11851,21230,Riverside,10,SOUTHERN,"825 FORT AVE
Baltimore, MD
"
MCDONALD'S HAMBURGERS,21223,Penrose/Fayette Street Outreach,9,SOUTHWESTERN,"2501 FRANKLIN ST
Baltimore, MD
"
MCDONALD'S HAMBURGERS,21229,Carroll-South Hilton,8,SOUTHWESTERN,"3249 FREDERICK AVE
Baltimore, MD
"
MCDONALD'S HAMBURGERS,21201,Downtown,11,CENTRAL,"425 BALTIMORE ST
Baltimore, MD
"
MCDONALD'S RESTAURANT,21215,Reisterstown Station,5,NORTHWESTERN,"4205 MORTIMER AVE
Baltimore, MD
"
MCDONALD'S RESTAURANT,21202,Downtown,11,CENTRAL,"45 MARKET PL
Baltimore, MD
"
MCHENRY STREET PUB,21230,New Southwest/Mount Clare,9,SOUTHERN,"1513 MCHENRY ST
Baltimore, MD
"
MEADOW MILL ATHLETIC CLUB,21211,Hampden,7,NORTHERN,"3600 CLIPPER MILL RD
Baltimore, MD
"
MEHEK,21231,Fells Point,1,SOUTHEASTERN,"811 BROADWAY
Baltimore, MD
"
MELI PATISSERIE & BISTRO,21231,Fells Point,1,SOUTHEASTERN,"818 BROADWAY
Baltimore, MD
"
METROPOLITAN COFFEEHOUSE AND WINE BAR,21230,Federal Hill,10,SOUTHERN,"902 CHARLES ST
Baltimore, MD
"
MEX RESTAURANT,21202,Downtown,11,CENTRAL,"26 MARKET PL
Baltimore, MD
"
MICHAEL'S STEAK & LOBSTER HOUSE,21224,Joseph Lee,2,SOUTHEASTERN,"6207 EASTERN AVE
Baltimore, MD
"
MICHELLE'S CAF,21231,Fells Point,1,SOUTHEASTERN,"1836 EASTERN AVE
Baltimore, MD
"
MICK 0' SHEA'S IRISH PUB,21201,Downtown,11,CENTRAL,"328 CHARLES ST
Baltimore, MD
"
MIDTOWN YACHT CLUB,21202,Mount Vernon,11,CENTRAL,"15 CENTRE ST
Baltimore, MD
"
"NEW REX LIQUORS,INC.",21212,Wilson Park,4,NORTHERN,"4637 YORK RD
Baltimore, MD
"
NEW RITZ CABARET,21231,Fells Point,1,SOUTHEASTERN,"504 BROADWAY
Baltimore, MD
"
NEW SEOUL RESTAURANT,21218,Charles North,12,CENTRAL,"1910 16 N CHARLES ST
Baltimore, MD
"
"NICHIBAN OF FEDERAL HILL, INC.",21230,Federal Hill,10,SOUTHERN,"1035 CHARLES ST
Baltimore, MD
"
NICK'S,21223,Carrollton Ridge,9,SOUTHWESTERN,"2200 WILKENS AVE
Baltimore, MD
"
NICK'S FISH HOUSE,21230,Port Covington,10,SOUTHERN,"2600 INSULATOR DR
Baltimore, MD
"
NIGHT OF THE COOKERS. LLC,21201,Mount Vernon,11,CENTRAL,"885 HOWARD ST
Baltimore, MD
"
NIGHTSHIFT,21224,Canton Industrial Area,1,SOUTHEASTERN,"1725 PONCA ST
Baltimore, MD
"
NIWANA,21218,Charles Village,14,NORTHERN,"3215 CHARLES ST
Baltimore, MD
"
NO IDEA,21230,SBIC,10,SOUTHERN,"1649 HANOVER ST
Baltimore, MD
"
NO WAY JOSE CAF,21230,Federal Hill,10,SOUTHERN,"38 CROSS ST
Baltimore, MD
"
NO. #1 CHINESE RESTAURANT,21224,Highlandtown,2,SOUTHEASTERN,"3710 EASTERN AVE
Baltimore, MD
"
NORMA  JEANS,21202,Downtown,11,CENTRAL,"10 CUSTOM HOUSE AVE
Baltimore, MD
"
NORTH POLE ICE CREAM COMPANY,21224,Highlandtown,2,SOUTHEASTERN,"3713 EASTERN AVE
Baltimore, MD
"
NORTH'S CAF,21215,Arlington,5,NORTHWESTERN,"3716 BELVEDERE AVE
Baltimore, MD
"
NORTHSIDE SPORTS BAR,21218,Abell,14,NORTHERN,"3100 GREENMOUNT AVE
Baltimore, MD
"
OASIS NITECLUB,21202,Downtown,11,CENTRAL,"417 BALTIMORE ST
Baltimore, MD
"
O'BRADY SALOON,21225,Fairfield Area,10,SOUTHERN,"3432 HANOVER ST
Baltimore, MD
"
O'CONNORS,21224,Greektown,2,SOUTHEASTERN,"4801 EASTERN AVE
Baltimore, MD
"
O'DONNELL PUB,21224,Canton,1,SOUTHEASTERN,"531 POTOMAC ST
Baltimore, MD
"
ODYSSEY LOUNGE,21217,Sandtown-Winchester,7,WESTERN,"1323 PRESSTMAN ST
Baltimore, MD
"
O'HARA'S IRISH PUB,21206,Rosemont East,2,NORTHEASTERN,"6506 BELAIR RD
Baltimore, MD
"
OK TAVERN,21213,Biddle Street,13,EASTERN,"2301 BIDDLE ST
Baltimore, MD
"
OLD BAY CAF,21202,Inner Harbor,11,CENTRAL,"501 PRATT STREET
Baltimore, MD
"
OLDE OBRYCKI'S CRAB HOUSE (saesonal),21231,Upper Fells Point,1,SOUTHEASTERN,"1727 PRATT ST
Baltimore, MD
"
OLORI B',21218,Better Waverly,12,NORTHERN,"2637 GREENMOUNT AVE
Baltimore, MD
"
OMEGA PSI PHI FRATERNITY,21217,Easterwood,7,WESTERN,"2003 PRESBURY ST
Baltimore, MD
"
ONE + ONE CARRYOUT,21216,Sandtown-Winchester,7,WESTERN,"1550 MONROE ST
Baltimore, MD
"
ONE WORLD CAF,21210,Tuscany-Canterbury,14,NORTHERN,"100 UNIVERSITY PKWY
Baltimore, MD
"
ONE-EYED MIKE'S,21231,Fells Point,1,SOUTHEASTERN,"708 BOND ST
Baltimore, MD
"
OPEN HEARTH INN,21222,Saint Helena,1,SOUTHEASTERN,"6591 ST HELENA AVE
Baltimore, MD
"
ORIENT EXPRESS,21218,Charles Village,14,NORTHERN,"3111 ST PAUL ST
Baltimore, MD
"
ORLEANS LIQUORS,21224,McElderry Park,13,SOUTHEASTERN,"401 MONTFORD AVE
Baltimore, MD
"
ottobar,21218,Remington,7,NORTHERN,"2549 howard st
Baltimore, MD
"
OUT TO LUNCH,21202,Inner Harbor,11,CENTRAL,"109 MARKET PL
Baltimore, MD
"
OUTBACK STEAKHOUSE,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD
"
OVERLEA   DINER,21206,Rosemont East,2,NORTHEASTERN,"6652 BELAIR RD
Baltimore, MD
"
OXFORD TAVERN,21217,Sandtown-Winchester,7,WESTERN,"1741 NORTH AVE
Baltimore, MD
"
P & S JAMAICAN & AMERICAN RESTAURNAT & CARRYOUT,21215,Pimlico Good Neighbors,5,NORTHWESTERN,"5218 PARK HEIGHTS AVE
Baltimore, MD
"
P.J.'S PUB,21218,Charles Village,14,NORTHERN,"3333 CHARLES ST
Baltimore, MD
"
PAIK'S PLACE,21226,Fairfield Area,10,SOUTHERN,"3563 FAIRFIELD RD
Baltimore, MD
"
PAK'S LIQUORS,21223,Franklin Square,9,WESTERN,"300 GILMOR ST
Baltimore, MD
"
PALOMA'S (351-55),21223,New Southwest/Mount Clare,9,SOUTHERN,"351 WOODYEAR ST
Baltimore, MD
"
PANADERIA HERMANOS NAVARRO LLC,21224,Highlandtown,2,SOUTHEASTERN,"3712 EASTERN AVE
Baltimore, MD
"
PANDA EXPRESS # 1152,21215,Reisterstown Station,5,NORTHWESTERN,"6514 REISTERSTOWN RD
Baltimore, MD
"
PANERA BREAD,21202,Inner Harbor,11,CENTRAL,"600 PRATT ST
Baltimore, MD
"
PANERA BREAD,21212,Lake Walker,4,NORTHERN,"6307 1 2 YORK RD
Baltimore, MD
"
PAPA  JOHNS  PIZZA,21214,Waltherson,3,NORTHEASTERN,"5246 HARFORD RD
Baltimore, MD
"
PAPA JOHN'S,21218,Abell,14,NORTHERN,"347 33RD ST
Baltimore, MD
"
PAPA JOHN'S PIZZA 730,21210,Cross Keys,6,NORTHERN,"4535 FALLS RD
Baltimore, MD
"
PAPERMOON DINER,21211,Remington,14,NORTHERN,"227 29TH ST
Baltimore, MD
"
PARADISE OF PARK HEIGHTS,21215,Central Park Heights,6,NORTHWESTERN,"4448 PARK HEIGHTS AVE
Baltimore, MD
"
PARADOX,21230,Carroll - Camden Industrial Area,10,SOUTHERN,"1310 RUSSELL ST
Baltimore, MD
"
PARK  AVE.  SPORTS  BAR,21202,Downtown,11,CENTRAL,"412 PARK AVE
Baltimore, MD
"
PARK AVENUE CAF EXPRESS,21227,Violetville,8,SOUTHWESTERN,"3700 KOPPERS ST
Baltimore, MD
"
PARK INN,21231,Canton,1,SOUTHEASTERN,"2239 EASTERN AVE
Baltimore, MD
"
Parkside Restaurant,21224,Baltimore-Linwood,1,SOUTHEASTERN,"2901 Baltimore St
Baltimore, MD
"
PARTHENON DINER,21201,Downtown,11,CENTRAL,"8 PARK AVENUE
Baltimore, MD
"
PASTICCIO ITALIAN KITCHEN,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD
"
PATRICK'S  OF PRATT STREET,21223,Hollins Market,9,SOUTHERN,"131 SCHROEDER ST
Baltimore, MD
"
"PATTERSON PERK, LLC",21224,Canton,1,SOUTHEASTERN,"2501 EASTERN AVE
Baltimore, MD
"
PATTY CAKES,21218,Lauraville,3,NORTHEASTERN,"2301 ARGONNE DR
Baltimore, MD
"
PAUL'S,21230,Riverside,10,SOUTHERN,"701 FORT AVE
Baltimore, MD
"
PAZO,21231,Fells Point,1,SOUTHEASTERN,"1425 ALICEANNA ST
Baltimore, MD
"
PAZZA LUNA,21230,Locust Point,10,SOUTHERN,"1401 CLEMENT ST
Baltimore, MD
"
peabody court a clairon hotel,21201,Mount Vernon,11,CENTRAL,"612 cathedral st
Baltimore, MD
"
PEARL'S,21231,Fells Point,1,SOUTHEASTERN,"1900 ALICEANNA ST
Baltimore, MD
"
PEIWEI ASIAN DINER,21212,Cedarcroft,4,NORTHERN,"6302 YORK RD
Baltimore, MD
"
peking house,21225,Brooklyn,10,SOUTHERN,"3606 hanover st
Baltimore, MD
"
PENN LIQUORS,21202,Johnston Square,12,EASTERN,"1041 GREENMOUNT AVE
Baltimore, MD
"
PENN RESTAURANT & CARRYOUT,21201,University Of Maryland,11,CENTRAL,"663 PRATT ST
Baltimore, MD
"
PENN STREET TAVERN,21230,Ridgely's Delight,11,SOUTHERN,"213 PENN ST
Baltimore, MD
"
PENNINGTON   STATION,21226,Curtis Bay,10,SOUTHERN,"4901 PENNINGTON AVE
Baltimore, MD
"
PENNINGTON'S PUB      (5 & 7 W. PATAPSCO AVE.),21225,Brooklyn,10,SOUTHERN,"7 PATAPSCO AVE
Baltimore, MD
"
PEPINO'S INCORPORATED,21202,Little Italy,1,SOUTHEASTERN,"301 EXETER ST
Baltimore, MD
"
PEPPER'S LIQUOR'S,21215,Woodmere,5,NORTHWESTERN,"5440 REISTERSTOWN RD
Baltimore, MD
"
PERGUSA ENTERPRISES,21212,Rosebank,4,NORTHERN,"5928 YORK RD
Baltimore, MD
"
PETALO'S,21202,Little Italy,1,SOUTHEASTERN,"1002 EASTERN AVE
Baltimore, MD
"
PETERS POUR HOUSE AND PUB 110,21202,Downtown,11,CENTRAL,"111 MERCER ST
Baltimore, MD
"
PETE'S GRILLE,21218,Better Waverly,14,NORTHERN,"3130 GREENMOUNT AVE
Baltimore, MD
"
"PETE'S INN, INCORPORATED",21231,Fells Point,1,SOUTHEASTERN,"504 ANN ST
Baltimore, MD
"
PETIT LOUIS BISTRO,21210,Roland Park,6,NORTHERN,"4800 ROLAND AVE
Baltimore, MD
"
PETTIFORD'S SEAFOOD & SOUL FOOD,21218,East Baltimore Midway,12,EASTERN,"2002 HARFORD RD
Baltimore, MD
"
PF CHANGS CHINA BISTRO,21202,Inner Harbor,11,CENTRAL,"600 PRATT ST
Baltimore, MD
"
